,gid,UF,nome,PIB,PIB_percapita
2888,4530.0,SÃO PAULO,Ilha Comprida,97179.28125,9631.25
2889,4690.0,SÃO PAULO,Nova Luzitânia,29767.0078125,7843.74023438
2892,4627.0,SÃO PAULO,Lindóia,67635.7421875,11321.6796875
2896,4822.0,SÃO PAULO,Santa Salete,24226.39257812,16754.08007812
2906,2009.0,SÃO PAULO,Diadema,9969819.0,25066.30078125
2907,3763.0,SÃO PAULO,Gália,67073.984375,10109.12011719
2910,4181.0,SÃO PAULO,Altair,96194.734375,29265.2109375
2914,5087.0,SÃO PAULO,São Lourenço da Serra,138128.15625,7540.16015625
2917,4963.0,SÃO PAULO,Registro,585710.5,10616.84960938
2921,4882.0,SÃO PAULO,Tatuí,1898242.5,17412.34960938
2947,4212.0,SÃO PAULO,Barbosa,50042.2109375,7206.54003906
2951,5056.0,SÃO PAULO,Jarinu,399077.0625,17486.50976562
2960,5042.0,SÃO PAULO,Francisco Morato,863953.375,5492.60009766
2970,4749.0,SÃO PAULO,Poloni,66943.3046875,13126.13964844
2972,4282.0,SÃO PAULO,Dirce Reis,24405.38476562,15037.20996094
2979,4872.0,SÃO PAULO,Tambaú,301012.6875,13333.90039062
2992,4586.0,SÃO PAULO,Jeriquara,75402.8671875,23446.16992188
3002,681.0,SÃO PAULO,Dumont,86997.0703125,10423.79980469
3016,4568.0,SÃO PAULO,Itapirapuã Paulista,23267.171875,5937.02001953
3067,4628.0,SÃO PAULO,Lins,1917087.25,26195.80078125
3076,4679.0,SÃO PAULO,Nipoã,48101.53515625,11723.5
3079,3772.0,SÃO PAULO,Guaíra,850159.125,21981.5703125
3086,4819.0,SÃO PAULO,Santa Rita d'Oeste,39319.76953125,15721.62011719
3087,4541.0,SÃO PAULO,Irapuru,62625.421875,7953.43994141
3093,4842.0,SÃO PAULO,São João da Boa Vista,1608504.875,19169.63085938
3100,4581.0,SÃO PAULO,Jaboticabal,1418964.875,19415.52929688
3107,4735.0,SÃO PAULO,Pindamonhangaba,4172247.75,28851.13085938
3108,4198.0,SÃO PAULO,Araçatuba,3001299.5,16472.18945312
3112,3766.0,SÃO PAULO,Gavião Peixoto,165148.078125,38913.30859375
3115,5053.0,SÃO PAULO,Itariri,94274.328125,5789.37988281
3118,1769.0,SÃO PAULO,Votorantim,1810173.375,17208.11914062
3140,5063.0,SÃO PAULO,Mongaguá,447405.15625,10148.23046875
3144,4753.0,SÃO PAULO,Pontes Gestal,84910.578125,33207.109375
3152,4577.0,SÃO PAULO,Itirapuã,58454.1640625,9902.45019531
3153,4657.0,SÃO PAULO,Mira Estrela,32981.234375,12384.99023438
3154,4658.0,SÃO PAULO,Mirandópolis,242961.578125,9078.94042969
3156,5050.0,SÃO PAULO,Itapecerica da Serra,3207249.5,19799.91015625
3158,5047.0,SÃO PAULO,Ibiúna,703188.0625,10434.29980469
3179,4257.0,SÃO PAULO,Casa Branca,566633.9375,20101.24023438
3186,4791.0,SÃO PAULO,Rosana,778538.875,41153.33984375
3198,5054.0,SÃO PAULO,Itu,4131263.25,26249.58007812
3212,4629.0,SÃO PAULO,Lorena,1190193.375,14379.53027344
3219,4726.0,SÃO PAULO,Pedranópolis,31103.59179688,10975.16015625
3220,4663.0,SÃO PAULO,Moji Mirim,2281638.5,25818.26953125
3221,4204.0,SÃO PAULO,Arealva,128288.984375,16267.94042969
3228,685.0,SÃO PAULO,Adolfo,68426.1484375,18443.7109375
3232,3781.0,SÃO PAULO,Guariba,502869.15625,14572.54003906
3246,4681.0,SÃO PAULO,Nova Campina,137261.8125,14811.88964844
3251,4578.0,SÃO PAULO,Itobi,67564.7734375,8765.54003906
3252,4779.0,SÃO PAULO,Ribeirão Bonito,120750.140625,10183.87011719
3268,4544.0,SÃO PAULO,Itajobi,203594.890625,13866.03027344
3278,5041.0,SÃO PAULO,Ferraz de Vasconcelos,1381021.625,7705.25976562
